t,xapp,score,score_smoothed,trust_state,kind,attacking,seed,mal_class
45.0,benign_kpm,0.14928985009262533,0.3221071073621691,HEALTHY,benign,False,0,A2
45.0,mal_A2,0.12805383961936279,0.1991974762552223,HEALTHY,A2,False,0,A2
46.0,benign_ho,0.4799164047555978,0.40025340260689,HEALTHY,benign,False,0,A2
46.0,benign_sched,0.3062586826641445,0.2497353313206312,HEALTHY,benign,False,0,A2
46.0,benign_kpm,0.3389211190820324,0.32546990970614176,HEALTHY,benign,False,0,A2
46.0,mal_A2,0.29297564734551346,0.21795311047328056,HEALTHY,A2,False,0,A2
47.0,benign_ho,0.4724619666406883,0.4146951154136497,HEALTHY,benign,False,0,A2
47.0,benign_sched,0.1787844954026936,0.23554516413704368,HEALTHY,benign,False,0,A2
47.0,benign_kpm,0.7559081675846607,0.41155756128184556,HEALTHY,benign,False,0,A2
47.0,mal_A2,0.2549313250717984,0.22534875339298413,HEALTHY,A2,False,0,A2
48.0,benign_ho,0.351078954138765,0.4019718831586727,HEALTHY,benign,False,0,A2
48.0,benign_sched,0.15603182445641167,0.2196424962009173,HEALTHY,benign,False,0,A2
48.0,benign_kpm,0.20544243193292203,0.3703345354120609,HEALTHY,benign,False,0,A2
48.0,mal_A2,0.2710487735986975,0.23448875743412684,HEALTHY,A2,False,0,A2
49.0,benign_ho,0.4005533863322521,0.4016881837933886,HEALTHY,benign,False,0,A2
49.0,benign_sched,0.09027459241807814,0.1937689154443495,HEALTHY,benign,False,0,A2
49.0,benign_kpm,0.1417685010468881,0.32462132853902637,HEALTHY,benign,False,0,A2
49.0,mal_A2,0.08378121922733056,0.2043472497927676,HEALTHY,A2,False,0,A2
50.0,benign_ho,0.249787656809494,0.3713080783966097,HEALTHY,benign,False,0,A2
50.0,benign_sched,0.20628278960314558,0.19627169027610872,HEALTHY,benign,False,0,A2
50.0,benign_kpm,0.21081058024065735,0.3018591788793526,HEALTHY,benign,False,0,A2
50.0,mal_A2,0.19423723974239945,0.20232524778269398,HEALTHY,A2,False,0,A2
51.0,benign_ho,0.4860052273297437,0.3942475081832365,HEALTHY,benign,False,0,A2
51.0,benign_sched,0.15581176312249098,0.18817970484538518,HEALTHY,benign,False,0,A2
51.0,benign_kpm,0.20634022498719964,0.282755388100922,HEALTHY,benign,False,0,A2
51.0,mal_A2,0.23205680845707474,0.20827155991757013,HEALTHY,A2,False,0,A2
52.0,benign_ho,0.3783848152093418,0.3910749695884576,HEALTHY,benign,False,0,A2
52.0,benign_sched,0.1757377918630341,0.185691322248915,HEALTHY,benign,False,0,A2
52.0,benign_kpm,0.24198356078349603,0.2746010226374368,HEALTHY,benign,False,0,A2
52.0,mal_A2,0.22785477755922837,0.21218820344590178,HEALTHY,A2,False,0,A2
53.0,benign_ho,0.5264333594519551,0.41814664756115716,HEALTHY,benign,False,0,A2
53.0,benign_sched,0.4773402643084477,0.24402111066082155,HEALTHY,benign,False,0,A2
53.0,benign_kpm,0.1984441467946656,0.2593696474688826,HEALTHY,benign,False,0,A2
53.0,mal_A2,0.2640880366336539,0.2225681700834522,HEALTHY,A2,False,0,A2
54.0,benign_ho,0.528771090666017,0.44027153618212916,HEALTHY,benign,False,0,A2
54.0,benign_sched,0.15212760384446983,0.22564240929755122,HEALTHY,benign,False,0,A2
54.0,benign_kpm,0.31991045351767616,0.2714778086786413,HEALTHY,benign,False,0,A2
54.0,mal_A2,0.23751072611610846,0.22555668128998346,HEALTHY,A2,False,0,A2
55.0,benign_ho,0.5197224255955161,0.45616171406480654,HEALTHY,benign,False,0,A2
55.0,benign_sched,0.07646709612956432,0.19580734666395386,HEALTHY,benign,False,0,A2
55.0,benign_kpm,0.5423261769386438,0.32564748233064184,HEALTHY,benign,False,0,A2
55.0,mal_A2,0.1608476073645793,0.21261486650490263,HEALTHY,A2,False,0,A2
56.0,benign_ho,0.45627548118105626,0.4561844674880565,HEALTHY,benign,False,0,A2
56.0,benign_sched,0.24589408693264436,0.20582469471769196,HEALTHY,benign,False,0,A2
56.0,benign_kpm,0.38726403117919006,0.33797079210035147,HEALTHY,benign,False,0,A2
56.0,mal_A2,0.2020400373497994,0.210499900673882,HEALTHY,A2,False,0,A2
57.0,benign_ho,0.27333457212497786,0.4196144884154408,HEALTHY,benign,False,0,A2
57.0,benign_sched,0.27377363164274265,0.21941448210270212,HEALTHY,benign,False,0,A2
57.0,benign_kpm,0.3722667608922907,0.34482998585873936,HEALTHY,benign,False,0,A2
57.0,mal_A2,0.19798821738863914,0.20799756401683345,HEALTHY,A2,False,0,A2
58.0,benign_ho,0.4108570950340372,0.41786300973916013,HEALTHY,benign,False,0,A2
58.0,benign_sched,0.4554544196068119,0.2666224696035241,HEALTHY,benign,False,0,A2
58.0,benign_kpm,0.31147005784701015,0.33815800025639353,HEALTHY,benign,False,0,A2
58.0,mal_A2,0.621792809614652,0.29075661313639717,HEALTHY,A2,False,0,A2
59.0,benign_ho,0.4945662069367774,0.4332036491786836,HEALTHY,benign,False,0,A2
59.0,benign_sched,0.3720810792339026,0.2877141915295998,HEALTHY,benign,False,0,A2
59.0,benign_kpm,0.27104821408243557,0.3247360430216019,HEALTHY,benign,False,0,A2
59.0,mal_A2,0.5025834344229666,0.3331219773937111,HEALTHY,A2,False,0,A2
60.0,benign_ho,0.39020849129004415,0.42460461760095575,HEALTHY,benign,False,0,A2
60.0,benign_sched,0.05994197849494281,0.24215974892266845,HEALTHY,benign,False,0,A2
60.0,benign_kpm,0.6484492132811988,0.38947867707352135,HEALTHY,benign,False,0,A2
60.0,mal_A2,0.21092227938038144,0.30868203779104514,HEALTHY,A2,False,0,A2
61.0,benign_ho,0.3397619311506584,0.40763608031089626,HEALTHY,benign,False,0,A2
61.0,benign_sched,0.24674165686794677,0.2430761305117241,HEALTHY,benign,False,0,A2
61.0,benign_kpm,0.345837770161493,0.38075049569111574,HEALTHY,benign,False,0,A2
61.0,mal_A2,0.1274997891125926,0.2724455880553546,HEALTHY,A2,False,0,A2
62.0,benign_ho,0.43841429355248507,0.41379172295921407,HEALTHY,benign,False,0,A2
62.0,benign_sched,0.12283259291489113,0.21902742299235753,HEALTHY,benign,False,0,A2
62.0,benign_kpm,0.28765241121780893,0.3621308787964544,HEALTHY,benign,False,0,A2
62.0,mal_A2,0.268970877856977,0.2717506460156791,HEALTHY,A2,False,0,A2
63.0,benign_ho,0.38790749068539315,0.40861487650444994,HEALTHY,benign,False,0,A2
63.0,benign_sched,0.2746504606431006,0.23015203052250616,HEALTHY,benign,False,0,A2
63.0,benign_kpm,0.3981213040319301,0.3693289638435495,HEALTHY,benign,False,0,A2
63.0,mal_A2,0.27451044210411873,0.272302605233367,HEALTHY,A2,False,0,A2
64.0,benign_ho,0.6138973753860272,0.4496713762807654,HEALTHY,benign,False,0,A2
64.0,benign_sched,0.20212677479911206,0.22454697937782736,HEALTHY,benign,False,0,A2
64.0,benign_kpm,0.42813941742380285,0.3810910545596002,HEALTHY,benign,False,0,A2
64.0,mal_A2,0.20957926214728229,0.2597579366161501,HEALTHY,A2,False,0,A2
65.0,benign_ho,0.4215734242872014,0.44405178588205263,HEALTHY,benign,False,0,A2
65.0,benign_sched,0.28691251319171884,0.23702008614060566,HEALTHY,benign,False,0,A2
65.0,benign_kpm,0.44229774962471236,0.3933323935726227,HEALTHY,benign,False,0,A2
65.0,mal_A2,0.34695982878523274,0.2771983150499666,HEALTHY,A2,False,0,A2
66.0,benign_ho,0.3613570278758222,0.42751283428080655,HEALTHY,benign,False,0,A2
66.0,benign_sched,0.41479990336306244,0.272576049585097,HEALTHY,benign,False,0,A2
66.0,benign_kpm,0.23997047556597725,0.3626600099712936,HEALTHY,benign,False,0,A2
66.0,mal_A2,0.0015132159168684146,0.222061295223347,HEALTHY,A2,False,0,A2
67.0,benign_ho,0.38635939602036995,0.4192821466287192,HEALTHY,benign,False,0,A2
